City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Salur,IN,87.82,moderate rain,18.5333,83.2167,SATYAM NAIDU FARM HOUSE ( సత్యం నాయుడు వ్యవసాయ క్షేత్రం )
11,Bengkulu,ID,80.91,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,Hasaki,JP,84.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
23,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Westport,US,75.36,clear sky,41.1415,-73.3579,The Westport Inn
30,Labuhan,ID,83.03,broken clouds,-6.8844,112.2051,DoubleFAG
37,Butaritari,KI,81.9,broken clouds,3.0707,172.7902,Isles Sunset Lodge
40,Sarangani,PH,83.26,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
41,Hilo,US,79.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
43,Atuona,PF,76.77,clear sky,-9.8,-139.0333,Villa Enata
46,Mahebourg,MU,75.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Catuday,PH,84.31,moderate rain,16.2923,119.8062,Benjie's Kubo & Cottages
50,Leshukonskoye,RU,77.0,broken clouds,64.8989,45.7622,Pryalitsa Hostel
53,Zaysan,KZ,87.96,overcast clouds,47.4667,84.8667,Ерлан үй
57,Reims,FR,81.95,clear sky,49.1667,4.0833,Château de Rilly
58,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
60,Hithadhoo,MV,76.32,overcast clouds,-0.6,73.0833,Scoop Guest House
65,Kavaratti,IN,81.27,heavy intensity rain,10.5669,72.642,Green leaf
69,Saint-Philippe,RE,78.22,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
70,Ust-Maya,RU,80.4,few clouds,60.4167,134.5333,"Chambres d'hôte ""La Trinité"""
72,Kahului,US,77.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
73,Manaure,CO,80.19,scattered clouds,11.7751,-72.4445,Hotel Palaaima
77,Nehe,CN,76.08,broken clouds,48.4833,124.8333,Vladimir Homestay
78,Kavieng,PG,82.51,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
83,Aguimes,ES,76.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
84,Poshekhonye,RU,78.73,clear sky,58.4993,39.1353,Chudnoy Dvor
92,Meulaboh,ID,85.89,heavy intensity rain,4.1363,96.1285,Kost Pria
95,Manokwari,ID,79.99,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
99,Ailigandi,PA,76.98,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
104,Bubaque,GW,78.87,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
109,Malkangiri,IN,81.75,light rain,18.35,81.9,MR-SAGAR_KUMAR_RTR™
110,Atar,MR,89.67,light rain,20.5169,-13.0499,Oumou Elghoura
112,Dwarka,IN,84.38,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
114,Puri,IN,84.72,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
116,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
118,Hobe Sound,US,82.38,clear sky,27.0595,-80.1364,Floridays RV Park
119,Kudahuvadhoo,MV,82.36,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
121,Faya,SA,87.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
123,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
124,Virginia Beach,US,77.02,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
127,New Iberia,US,80.67,clear sky,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
129,Tura,IN,82.85,very heavy rain,25.5198,90.2201,Hotel RIKMAN Continental
130,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
131,Hambantota,LK,85.59,overcast clouds,6.1241,81.1185,Bungalow 63
133,Bonthe,SL,78.3,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
136,Sola,VU,80.65,overcast clouds,-13.8833,167.55,Leumerus Bungalows
143,Port Blair,IN,80.64,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
144,San Pedro,PH,85.32,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
152,Nakambala,ZM,76.26,clear sky,-15.8324,27.7799,Staff Area
154,Nikolskoye,RU,83.88,broken clouds,59.7035,30.7861,Tourist House - Sablino
155,Nongan,CN,80.69,clear sky,44.382,125.1685,Quanhu Resort
