City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,59.32,82,100,13.29,overcast clouds
1,Saskylakh,RU,71.9167,114.0833,54.63,63,100,7.23,overcast clouds
2,Chokurdakh,RU,70.6333,147.9167,57.15,38,23,14.61,few clouds
3,Salur,IN,18.5333,83.2167,87.82,67,100,3.33,moderate rain
4,Yellowknife,CA,62.456,-114.3525,55.92,76,75,0.0,broken clouds
5,Dikson,RU,73.5069,80.5464,52.3,73,37,8.1,light rain
6,Abapo,BO,-18.8333,-63.4667,55.38,78,1,3.0,clear sky
7,Fredericton,CA,45.9454,-66.6656,65.82,94,100,6.91,mist
8,Chapais,CA,49.7834,-74.8492,58.78,92,100,10.89,overcast clouds
9,Contamana,PE,-7.3333,-75.0167,70.86,84,80,1.7,broken clouds
10,Puerto Madryn,AR,-42.7692,-65.0385,38.46,71,99,7.92,overcast clouds
11,Bengkulu,ID,-3.8004,102.2655,80.91,85,100,7.9,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,33.91,80,40,12.66,scattered clouds
13,Rikitea,PF,-23.1203,-134.9692,72.32,77,100,11.79,light rain
14,Port Alfred,ZA,-33.5906,26.891,72.18,55,81,1.99,broken clouds
15,Victoria,HK,22.2855,114.1577,93.38,71,1,13.0,clear sky
16,Albany,US,42.6001,-73.9662,68.52,90,0,3.6,clear sky
17,Saint-Augustin,CA,51.226,-58.6502,59.34,79,95,8.34,overcast clouds
18,Jamestown,US,42.097,-79.2353,71.19,87,100,8.05,light rain
19,Chuy,UY,-33.6971,-53.4616,54.37,90,89,3.38,overcast clouds
20,Bredasdorp,ZA,-34.5322,20.0403,61.36,53,100,8.12,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,33.46,93,75,33.38,light snow
22,Hasaki,JP,35.7333,140.8333,84.29,94,10,18.07,clear sky
23,Kapaa,US,22.0752,-159.319,77.32,83,40,14.97,scattered clouds
24,Muros,ES,42.7762,-9.0603,71.69,69,91,10.27,overcast clouds
25,Westport,US,41.1415,-73.3579,75.36,91,0,0.0,clear sky
26,Egvekinot,RU,66.3167,-179.1667,40.73,70,68,6.44,broken clouds
27,Lebu,CL,-37.6167,-73.65,53.02,97,100,9.4,moderate rain
28,Upernavik,GL,72.7868,-56.1549,42.26,95,100,28.99,light rain
29,Puerto Ayora,EC,-0.7393,-90.3518,65.55,99,82,1.99,broken clouds
30,Labuhan,ID,-6.8844,112.2051,83.03,70,78,4.88,broken clouds
31,Barrow,US,71.2906,-156.7887,37.42,93,100,16.11,mist
32,Cape Town,ZA,-33.9258,18.4232,62.28,69,20,12.66,few clouds
33,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,94,0,8.05,clear sky
34,Bilibino,RU,68.0546,166.4372,41.05,72,100,1.68,light rain
35,Tuktoyaktuk,CA,69.4541,-133.0374,51.71,76,100,7.83,overcast clouds
36,Ponta Do Sol,PT,32.6667,-17.1,74.12,63,12,3.29,few clouds
37,Butaritari,KI,3.0707,172.7902,81.9,75,60,8.5,broken clouds
38,Bluff,NZ,-46.6,168.3333,38.8,81,99,8.34,overcast clouds
39,Hermanus,ZA,-34.4187,19.2345,61.81,60,90,10.96,overcast clouds
40,Sarangani,PH,5.4033,125.4636,83.26,70,75,5.61,broken clouds
41,Hilo,US,19.7297,-155.09,79.29,95,40,5.75,scattered clouds
42,Alofi,NU,-19.0595,-169.9187,67.89,94,20,1.14,few clouds
43,Atuona,PF,-9.8,-139.0333,76.77,73,0,13.89,clear sky
44,Torbay,CA,47.6666,-52.7314,65.75,82,40,11.5,scattered clouds
45,Carnarvon,AU,-24.8667,113.6333,65.37,52,0,17.05,clear sky
46,Mahebourg,MU,-20.4081,57.7,75.25,68,75,14.97,broken clouds
47,Ceyhan,TR,37.0247,35.8175,97.14,13,0,5.44,clear sky
48,Abu Samrah,SY,35.3029,37.1841,94.55,19,0,10.38,clear sky
49,Catuday,PH,16.2923,119.8062,84.31,74,32,4.9,moderate rain
50,Leshukonskoye,RU,64.8989,45.7622,77.0,35,55,5.7,broken clouds
51,Ancud,CL,-41.8697,-73.8203,40.23,90,100,6.35,overcast clouds
52,Coihaique,CL,-45.5752,-72.0662,22.95,93,0,8.05,clear sky
53,Zaysan,KZ,47.4667,84.8667,87.96,25,96,10.31,overcast clouds
54,College,US,64.8569,-147.8028,57.15,82,75,3.44,light rain
55,Qaanaaq,GL,77.484,-69.3632,40.33,94,100,5.32,overcast clouds
56,Staryy Nadym,RU,65.6118,72.6842,46.09,86,100,12.95,overcast clouds
