City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2022-07-19 06:47:49,70.6333,147.9167,48.18,48,73,15.05
1,Zhanaozen,KZ,2022-07-19 06:47:49,43.3,52.8,104.25,11,0,14.76
2,Hermanus,ZA,2022-07-19 06:47:50,-34.4187,19.2345,52.81,72,98,3.91
3,Ulety,RU,2022-07-19 06:47:50,51.3572,112.4849,84.78,34,81,6.62
4,Abong Mbang,CM,2022-07-19 06:47:50,3.9833,13.1833,69.08,88,100,4.38
5,Cidreira,BR,2022-07-19 06:41:12,-30.1811,-50.2056,53.19,92,100,6.31
6,Sept-Iles,CA,2022-07-19 06:45:42,50.2001,-66.3821,61.05,91,40,6.91
7,Yellowknife,CA,2022-07-19 06:47:51,62.456,-114.3525,64.92,72,75,5.75
8,Thompson,CA,2022-07-19 06:46:36,55.7435,-97.8558,60.96,88,40,3.44
9,Kijang,KR,2022-07-19 06:41:03,35.2442,129.2139,83.93,82,47,5.97
10,San Carlos De Bariloche,AR,2022-07-19 06:47:52,-41.1456,-71.3082,24.24,70,2,4.79
11,Kavieng,PG,2022-07-19 06:47:53,-2.5744,150.7967,82.56,74,100,9.01
12,Isangel,VU,2022-07-19 06:41:15,-19.55,169.2667,80.71,83,75,0.0
13,Mahebourg,MU,2022-07-19 06:47:53,-20.4081,57.7,73.26,64,40,19.57
14,Cape Town,ZA,2022-07-19 06:47:54,-33.9258,18.4232,56.12,78,75,5.75
15,Cherskiy,RU,2022-07-19 06:47:54,68.75,161.3,39.97,62,94,21.23
16,Mattawa,US,2022-07-19 06:47:55,46.7379,-119.9028,72.88,45,0,7.36
17,Ushuaia,AR,2022-07-19 06:47:55,-54.8,-68.3,31.66,93,0,2.3
18,Batagay-Alyta,RU,2022-07-19 06:47:56,67.8006,130.4114,41.16,89,100,7.85
19,Waingapu,ID,2022-07-19 06:40:34,-9.6567,120.2641,82.15,56,39,15.21
20,Teguldet,RU,2022-07-19 06:47:57,57.3064,88.1667,58.91,94,100,8.12
21,Clyde River,CA,2022-07-19 06:41:05,70.4692,-68.5914,34.03,100,100,6.91
22,Margate,GB,2022-07-19 06:41:01,51.3813,1.3862,84.11,54,0,5.01
23,Haines Junction,CA,2022-07-19 06:47:58,60.7522,-137.5108,49.95,87,18,2.3
24,Lixourion,GR,2022-07-19 06:48:00,38.2019,20.4314,80.6,74,0,5.75
25,Taylor,US,2022-07-19 06:48:00,32.3001,-99.8337,90.86,33,0,16.11
26,Kapaa,US,2022-07-19 06:48:00,22.0752,-159.319,82.38,80,40,19.57
27,Ulaangom,MN,2022-07-19 06:41:00,49.9811,92.0667,68.16,37,80,6.69
28,Rikitea,PF,2022-07-19 06:48:01,-23.1203,-134.9692,74.53,72,0,11.03
29,Northam,GB,2022-07-19 06:48:01,51.0333,-4.2167,76.01,45,61,17.2
30,Morant Bay,JM,2022-07-19 06:48:02,17.8815,-76.4093,82.02,85,6,7.7
